Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bangladesh,BGD,298.1449919853,285.296976044,285.697809825,292.3645262534,291.3258679358,320.3619277188,383.8299550818,390.407905394,396.1696494738,398.2295462916,406.5317404911,403.5945462137,401.7081533282,434.0465632334,462.2748798448,485.8528880735,495.8537802011,543.0822631224,618.0758835593,683.6144222723,760.3319352002,838.5478017022,858.9333625876,954.3963997156,1086.8070785352
Bulgaria,BGR,2377.3358935295,1267.7343754149,1211.9808781093,1278.2471734611,1148.4943993817,1554.0469305143,1208.8502331198,1346.9127703109,1771.993942735,1643.6098949729,1609.2805861652,1762.4559679559,2079.2289749196,2693.7587604111,3353.5641485437,3852.9777564727,4455.6902241858,5932.8996765932,7296.1224785859,6955.9877325342,6752.5521777488,7750.0398800307,7333.3550730395,7656.6385055492,7851.2654280423
Bahrain,BHR,8528.7600593506,9057.5633748687,9088.631290387,9707.5669553527,10138.4745861281,10376.3642508806,10523.0815223982,10620.3434291409,10005.2367523625,10330.7365414172,13590.5210501438,12917.3955022801,13279.0457951397,14541.6160485141,16275.1804236433,18418.0726743768,19669.3195545631,21167.6187062133,23043.0253174017,19166.7082382358,20386.0175551116,22238.7119502059,23063.1322870426,24378.9448284188,24855.2156350086
"Bahamas, The",BHS,12350.8804781187,11914.8121340242,11682.1288603818,11402.651522136,11812.1223763424,12239.8278071469,12717.0603822518,17288.0565080427,18456.9907672364,20505.947433679,21241.1653927108,21497.3081566811,22505.4047934793,22008.4337005989,21995.5199216219,23405.8795479327,23721.1562800587,24306.1424243044,23657.365306222,22043.0125711709,21920.5165867583,21514.8986531628,22112.6083547268,22315.6036533886,22217.4941392075
Bosnia and Herzegovina,BIH,0,0,0,0,314.5596046786,481.1650399215,731.1209512179,971.5460642847,1090.2570560444,1238.1733850728,1451.6640018367,1512.9930140556,1746.4863834672,2192.6470782437,2619.7532575373,2928.2635903528,3351.9633998615,4107.9967786236,4974.6624617136,4586.2066833144,4475.0881300457,4860.7816258846,4494.6408119771,4748.0406922642,4851.6603501811
Belarus,BLR,1704.7403040648,1747.4386712776,1666.2275129416,1590.0354090294,1460.0175436025,1370.6727097518,1452.4470018171,1396.5021663727,1511.7702679813,1209.6148807799,1273.0491239487,1244.4419967652,1479.4653211322,1819.4790277163,2378.374893912,3126.3677777946,3848.5862030089,4735.9568891887,6376.1731149128,5176.044701382,5818.8548592158,6305.7736624765,6721.8349077397,7722.1233506044,8040.0475569713
Belize,BLZ,2202.3225558778,2326.8337283586,2666.9227315607,2833.0756186576,2880.1540311257,2996.3973397697,3001.6933494159,2952.5755126272,2991.8600437577,3065.5179110732,3364.4645817946,3419.2087146099,3556.6161603803,3679.7928154214,3831.6098303059,3933.2343731798,4187.2328899987,4324.8310171144,4470.220795976,4258.8428764832,4344.1366690609,4517.1239971688,4674.2933767341,4719.1379545778,4831.1775518618
Bermuda,BMU,26841.5197383946,27700.3095169516,28669.6822595785,30900.6948905109,31476.0631153068,33989.7223579821,44826.7890701658,48478.8832504091,51371.7408069836,54245.459737293,56284.1686478094,58883.9594265967,62583.1002034588,66111.7252270036,70359.3191088798,75882.0338560339,83912.6977976846,90849.5869806436,93605.7481653976,88463.3128161375,88207.3275597322,85973.158416455,85458.455507886,85748.0654143782,0
Bolivia,BOL,709.9486541479,764.1413320844,791.3813169915,788.3991365374,806.2211258916,887.4682896849,958.4735177861,1006.9640990201,1058.7183537835,1012.5100207967,1007.0028688845,958.2363140636,913.575853422,917.3643104862,978.3347575767,1046.4278428307,1233.59297373,1389.6317502607,1736.9240141515,1776.8571896237,1981.160105257,2377.7006897289,2645.2902743317,2948.0329176307,3124.0807621235
Brazil,BRA,3071.6279531441,3942.4039411954,2578.2070086443,2774.174126945,3482.5298163741,4827.1524426348,5144.6436595587,5260.4638128239,5065.3367050367,3461.6128582132,3728.5080100153,3135.1552290774,2805.7172572305,3040.5064955882,3596.2245797606,4730.6534683816,5808.3405471598,7246.8701047907,8706.8191419037,8474.8810657661,11121.4209541496,13039.1216499582,12157.3082176473,12071.7779871352,11726.8058803488
